produit_url,img_url,nom_produit,reference,categorie,sous_categorie,sous_sous_categorie,description,prix_initial,prix_promo,disponibilite,magasin
https://www.mytek.tn/cable-de-charge-depak-usb-a-vers-usb-c-blanc.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/c/_/c_ble_de_charge_depak_usb-a_vers_usb-c_-_blanc.jpg,Câble De Charge Depak  USB-A Vers USB-C  - Blanc,DEPAK-TYPE/C-WH,TELEPHONIE & MONTRE CONNECTÉE,Accessoires Téléphonie,Câble Chargeur,Câble De Charge Depak - Puissance :2A-Type de Câble :USB-A Vers USB-C- Longueur du câble :1 Métre-Couleur : Blanc - Garantie : 3 mois,3.900 DT,ND,Epuisé,Magasin Av. liberté Tunis: : Epuisé / Magasin Bizerte: : Epuisé / Magasin Hammamet: : Epuisé / Magasin Nabeul: : Epuisé / Magasin Béja: : Epuisé / Megastore Sousse: : Epuisé / Magasin Trocadero Sousse: : Epuisé / Magasin Kairouan: : Epuisé / Megastore Sfax Lafrane: : Epuisé / Magasin Sfax Av. 5 Août: : Epuisé
https://www.mytek.tn/chargeur-smartphone-depak-avec-cable-type-c-blanc.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/c/h/chargeur_smartphone_depak_avec_cable_type_c_-_blanc.jpg,Chargeur Smartphone Depak  Avec Cable Type C - Blanc,DH-G200-WH,TELEPHONIE & MONTRE CONNECTÉE,Accessoires Téléphonie,Chargeur,Chargeur Smartphone DepakAvec Cable Type C- Puissance :3.1 A- Types de Chargeur :Type C-Nombre de Ports :1- Couleur : blanc - Garantie : 3 mois,9.900 DT,ND,En stock,Megastore Tunis Charguia: : Commande 48h / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-uniwa-e1801-rouge.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-uniwa-e1801-rouge-d.jpg,Téléphone Portable UNIWA E1801 - Rouge,E1801-RED,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone UNIWA E1801 - Ecran1.77"" (160 x 128 pixels) QQVGA- Processeur:SC6531E-Mémoire vive:32Mo-Stockage:32 Moextensible avec carte micro-SD jusqu’à 32G- Caméra Arrière :0,08MP- Batterie :800 mAh- Double SIM -Bluetooth-Radio FM ,lecteur MP3/MP4 -lampe torche - Haut-parleur puissant - Longue veille - Dimensions: 108 x 45,2 x 13,9 millimètres - Poids: 68g - Couleur: Noir - Garantie : 1 an",37.900 DT,ND,En stock,Megastore Tunis Charguia: : Commande 48h / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-uniwa-e1801-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_uniwa_e1801_-_ice_bleu.jpg,TÉLÉPHONE PORTABLE UNIWA E1801 - Noir,E1801-BK,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone UNIWA E1801 - Ecran1.77"" (160 x 128 pixels) QQVGA- Processeur:SC6531E-Mémoire vive:32Mo-Stockage:32 Moextensible avec carte micro-SD jusqu’à 32G- Caméra Arrière :0,08MP- Batterie :800 mAh- Double SIM -Bluetooth-Radio FM ,lecteur MP3/MP4 -lampe torche - Haut-parleur puissant - Longue veille - Dimensions: 108 x 45,2 x 13,9 millimètres - Poids: 68g - Couleur: Noir - Garantie : 1 an",37.900 DT,ND,En stock,Megastore Tunis Charguia: : En Arrivage / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : En Stock / Magasin Hammamet: : En Stock / Magasin Nabeul: : En Stock / Magasin Béja: : Commande 48h / Megastore Sousse: : Commande 48h / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : En Stock / Megastore Sfax Lafrane: : En Stock / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-uniwa-e1801-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_uniwa_e1801_-_bleu.jpg,Téléphone Portable UNIWA E1801 - Bleu,E1801-BL,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone UNIWA E1801 - Ecran1.77"" (160 x 128 pixels) QQVGA- Processeur:SC6531E-Mémoire vive:32Mo-Stockage:32 Moextensible avec carte micro-SD jusqu’à 32G- Caméra Arrière :0,08MP- Batterie :800 mAh- Double SIM -Bluetooth-Radio FM ,lecteur MP3/MP4 -lampe torche - Haut-parleur puissant - Longue veille - Dimensions: 108 x 45,2 x 13,9 millimètres - Poids: 68g - Couleur: Bleu - Garantie : 1 an",37.900 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : En Stock / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-uniwa-e1803-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-uniwa-e1803-noir.jpg,TÉLÉPHONE PORTABLE UNIWA E1803 -NOIR,E1803-BLACK,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone UNIWA E1803 -l’écran1.77""- Résolution:160 x 128 pixels-Technologie:QVGA-Processeur:SC6531E- Mémoire vive:Prise en charge des cartes TF jusqu’à 16 Go- Caméra Arrière :0,08MP- Batterie :800 mAh- Fonctionnalités supplémentaires: Jeux, FM, calendrier, alarme, calculatrice, horloge mondiale, enregistreur, etc - Dimensions: 112,8*46,5*14,2 millimètres -Poids: 64g - Langues: Multilingue - Haut–parleur:enceinte 2030- Couleur: Noir - Garantie : 1an",38.000 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : En Stock / Magasin Bizerte: : En Stock / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : En Stock / Megastore Sousse: : En Arrivage / Magasin Trocadero Sousse: : En Stock / Magasin Kairouan: : En Stock / Megastore Sfax Lafrane: : En Stock / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-uniwa-e1803-rouge.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-uniwa-e1803-rouge.jpg,TÉLÉPHONE PORTABLE UNIWA E1803 - Rouge,E1803-RED,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone UNIWA E1803 -l’écran1.77""- Résolution:160 x 128 pixels-Technologie:QVGA-Processeur:SC6531E- Mémoire vive:Prise en charge des cartes TF jusqu’à 16 Go- Caméra Arrière :0,08MP- Batterie :800 mAh- Fonctionnalités supplémentaires: Jeux, FM, calendrier, alarme, calculatrice, horloge mondiale, enregistreur, etc - Dimensions: 112,8*46,5*14,2 millimètres -Poids: 64g - Langues: Multilingue - Haut–parleur:enceinte 2030- Couleur: Rouge - Garantie : 1an",38.000 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : Commande 48h / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-uniwa-e1803-gris.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_uniwa_e1803_-_gris.jpg,TÉLÉPHONE PORTABLE UNIWA E1803 - Gris,E1803-GREY,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone UNIWA E1803 -l’écran1.77""- Résolution:160 x 128 pixels-Technologie:QVGA-Processeur:SC6531E- Mémoire vive:Prise en charge des cartes TF jusqu’à 16 Go- Caméra Arrière :0,08MP- Batterie :800 mAh- Fonctionnalités supplémentaires: Jeux, FM, calendrier, alarme, calculatrice, horloge mondiale, enregistreur, etc - Dimensions: 112,8*46,5*14,2 millimètres -Poids: 64g - Langues: Multilingue - Haut–parleur:enceinte 2030- Couleur: Gris - Garantie : 1an",38.000 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : Commande 48h / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-uniwa-e1803-ice-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_uniwa_e1803_-_ici_bleu.jpg,TÉLÉPHONE PORTABLE UNIWA E1803 - ice bleu,E1803-IBLUE,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone UNIWA E1803 -l’écran1.77""- Résolution:160 x 128 pixels-Technologie:QVGA-Processeur:SC6531E- Mémoire vive:Prise en charge des cartes TF jusqu’à 16 Go- Caméra Arrière :0,08MP- Batterie :800 mAh- Fonctionnalités supplémentaires: Jeux, FM, calendrier, alarme, calculatrice, horloge mondiale, enregistreur, etc - Dimensions: 112,8*46,5*14,2 millimètres -Poids: 64g - Langues: Multilingue - Haut–parleur:enceinte 2030- Couleur: ice bleu - Garantie : 1an",38.000 DT,ND,En stock,Megastore Tunis Charguia: : Commande 48h / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : En Stock / Megastore Sfax Lafrane: : En Stock / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-ipro-a3-mini-rouge.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-ipro-a3-mini-rouge.jpg,Téléphone Portable IPRO A3 Mini - Rouge,IPRO-A3MINI-RED,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Ecran:1.8"" LCD- Mémoire RAM:32 Mo- Stockage:32 Mo- Caméra Arrière:0.08MP-Double SIM- Capacité Batterie:800mAh- Radio FM sans fil - Torche-Couleur: rouge - Garantie: 1 an",39.000 DT,ND,En stock,Megastore Tunis Charguia: : Commande 48h / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : Commande 48h / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-clever-c5-rouge.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-clever-c5-rouge.jpg,Téléphone Portable Clever C5 - Rouge,CLEVER-C5-RED,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone portable Clever C5- Ecran :1.77""TFT Display- Stockage :Extensible Jusqu'à 16Go- Capacité Batterie :800mAh- Connectivité:2G- Radio Fm sans fil - Large Torche -Appareil photo:VGA- Lecteur Mp3 - Bluetooth -Double SIM- Couleur : Rouge - Garantie : 1 an",39.900 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : En Stock / Megastore Sfax Lafrane: : En Stock / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-clever-c5-blanc-orange.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-clever-c5-blanc-orange.jpg,Téléphone Portable Clever C5 - Blanc&Orange,CLEVER-C5-OWHITE,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone portable Clever C5- Ecran :1.77""TFT Display- Stockage :Extensible Jusqu'à 16Go- Capacité Batterie :800mAh- Connectivité:2G- Radio Fm sans fil - Large Torche -Appareil photo:VGA- Lecteur Mp3 - Bluetooth -Double SIM- Couleur : Blanc& Orange - Garantie : 1 an",39.900 DT,ND,Epuisé,Magasin Av. liberté Tunis: : Epuisé / Magasin Bizerte: : Epuisé / Magasin Hammamet: : Epuisé / Magasin Nabeul: : Epuisé / Magasin Béja: : Epuisé / Megastore Sousse: : Epuisé / Magasin Trocadero Sousse: : Epuisé / Magasin Kairouan: : Epuisé / Megastore Sfax Lafrane: : Epuisé / Magasin Sfax Av. 5 Août: : Epuisé
https://www.mytek.tn/telephone-portable-clever-c5-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-clever-c5-bleu.jpg,Téléphone Portable Clever C5 - Bleu,CLEVER-C5-BLUE,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone portable Clever C5- Ecran :1.77""TFT Display- Stockage :Extensible Jusqu'à 16Go- Capacité Batterie :800mAh- Connectivité:2G- Radio Fm sans fil - Large Torche -Appareil photo:VGA- Lecteur Mp3 - Bluetooth -Double SIM- Couleur : Bleu - Garantie : 1 an",39.900 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : En Stock / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-geniphone-a4-mini-rouge.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-geniphone-a4-mini-rouge.jpg,Téléphone Portable GENIPHONE A4 Mini - Rouge,GENI-A4MINI-RED,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone Portable GENIPHONE A4 Mini - Écran:1.8""- Caméra:0.08MP- Mémoire: 32Mo - Stockage: 32Mo - Capacité Batterie:800mAh-Radio FM sans fil - Double SIM- Torche - Lecteur carte mémoire - Couleur: Rouge - Garantie: 1an",42.000 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : Commande 48h / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-philips-e2106-deep-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-philips-e2106-bleu.jpg,Téléphone Portable PHILIPS E2106 - Deep Bleu,PHILIPS-FUN100-DBL,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone Portable PHILIPS E2106 - Écran:2.0""(128 x 160 pixels)- Mémoire:4Mo- Stockage:4Mo-Stockage externe jusqu'à 32Go- Capacité Batterie:1000mAh-Double SIM-Bluetooth-Lecteur MP3- Couleur: Deep Bleu - Garantie: 1an",46.900 DT,ND,En arrivage,Magasin Av. liberté Tunis: : Epuisé / Magasin Bizerte: : Epuisé / Magasin Hammamet: : Epuisé / Magasin Nabeul: : Epuisé / Magasin Béja: : Epuisé / Megastore Sousse: : Epuisé / Magasin Trocadero Sousse: : Epuisé / Magasin Kairouan: : Epuisé / Megastore Sfax Lafrane: : Epuisé / Magasin Sfax Av. 5 Août: : Epuisé
https://www.mytek.tn/telephone-portable-philips-e2106-noir.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/e/telephone-portable-philips-e2106-noir.jpg,Téléphone Portable PHILIPS E2106 - Noir,PHILIPS-FUN100-BK,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone Portable PHILIPS E2106 - Écran:2.0""(128 x 160 pixels)- Mémoire:4Mo-Stockage:4Mo-Stockage externe jusqu'à 32Go- Capacité Batterie:1000mAh-Double SIM-Bluetooth-Lecteur MP3- Couleur: Noir - Garantie: 1an",46.900 DT,ND,En arrivage,Magasin Av. liberté Tunis: : Epuisé / Magasin Bizerte: : Epuisé / Magasin Hammamet: : Epuisé / Magasin Nabeul: : Epuisé / Magasin Béja: : Epuisé / Megastore Sousse: : Epuisé / Magasin Trocadero Sousse: : Epuisé / Magasin Kairouan: : Epuisé / Megastore Sfax Lafrane: : Epuisé / Magasin Sfax Av. 5 Août: : Epuisé
https://www.mytek.tn/telephone-portable-philips-e210-bleu.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_philips_e2106_-_bleu-1.jpg,Téléphone Portable PHILIPS E2106 - Bleu,PHILIPS-FUN100-BLUE,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,"Téléphone Portable PHILIPS E2106 - Écran:2.0""(128 x 160 pixels)- Mémoire:4Mo+4Mo- Stockage:4Mo-Stockage externe jusqu'à 32Go- Capacité Batterie:1000mAh-Double SIM-Bluetooth-Lecteur MP3- Couleur: Bleu - Garantie: 1an",46.900 DT,ND,En arrivage,Magasin Av. liberté Tunis: : Epuisé / Magasin Bizerte: : Epuisé / Magasin Hammamet: : Epuisé / Magasin Nabeul: : Epuisé / Magasin Béja: : Epuisé / Megastore Sousse: : Epuisé / Magasin Trocadero Sousse: : Epuisé / Magasin Kairouan: : Epuisé / Megastore Sfax Lafrane: : Epuisé / Magasin Sfax Av. 5 Août: : Epuisé
https://www.mytek.tn/telephone-portable-clever-c24-rouge.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_clever_c24_-_rouge.jpg,Téléphone Portable CLEVER C24 - Rouge,CLEVER-C24-RED,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,Téléphone mobile Clever C24- Écran:2.4- Camera:Camera vega- Nombre de SIM:Dual SIM-Radio FM sans fil-Bluetooth- Capacité de batterie:1000 mAh-Torche-Couleur: rouge,47.000 DT,ND,En stock,Megastore Tunis Charguia: : Commande 48h / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : Commande 48h / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : Commande 48h / Magasin Sfax Av. 5 Août: : Commande 48h
https://www.mytek.tn/telephone-portable-clever-c24-blanc.html,https://mk-media.mytek.tn/media/catalog/product/cache/8be3f98b14227a82112b46963246dfe1/t/_/t_l_phone_portable_clever_c24_-_blanc.jpg,Téléphone Portable CLEVER C24 - Blanc,CLEVER-C24-WHITE,TELEPHONIE & MONTRE CONNECTÉE,Téléphone Portable,Smartphone & Mobile,Téléphone mobile Clever C24- Écran:2.4- Camera:Camera vega- Nombre de SIM:Dual SIM-Radio FM sans fil-Bluetooth- Capacité de batterie:1000 mAh-Torche-Couleur: Blanc,47.000 DT,ND,En stock,Megastore Tunis Charguia: : En Stock / Magasin Av. liberté Tunis: : Commande 48h / Magasin Bizerte: : Commande 48h / Magasin Hammamet: : En Stock / Magasin Nabeul: : Commande 48h / Magasin Béja: : Commande 48h / Megastore Sousse: : En Stock / Magasin Trocadero Sousse: : Commande 48h / Magasin Kairouan: : Commande 48h / Megastore Sfax Lafrane: : En Stock / Magasin Sfax Av. 5 Août: : Commande 48h
